280608_5.0017;TROS
280502_2.0012;CZAPLE
280502_2.0013;GIØE
280608_5.0005;KRZYØANY
280608_5.0008;OR£O
280608_5.0010;RUD”WKA
280702_1.0005;Lubawa 5
220102_5.0001;Dπbie
220106_5.0008;Kamnica
220106_5.0014;Okunino
220106_5.0022;åwierzenko
040202_2.0004;BRUDZAWY
040202_2.0005;CHOJNO
180709_2.0010;WojaszÛwka
180908_2.0001;Bihale
180908_2.0002;Kobylnica Ruska
180908_2.0004;£ukawiec
181004_2.0008;Sonina
181102_2.0016;P≥awo
180709_2.0003;£πczki JagielloÒskie
180709_2.0008;Rzepnik
180805_5.0003;Sarzyna
180902_4.0011;Cieszanow
180903_2.0004;Nowe Brusno
180905_5.0003;Huta RÛøaniecka
180905_5.0005;JÍdrzejÛwka
180904_2.0023;Antoniki
181110_2.0101;GrzybÛw
181203_2.0003;SÛjkowa
181001_1.0001;Miasto £aÒcut
181003_2.0004;Medynia G≥ogowska
181003_2.0008;Zalesie
181106_2.0050;Domacyny
180708_5.0007;KrÛlik Wo≥oski
180708_5.0018;Wo≥tuszowa
180708_5.0010;Milcza
180708_5.0015;Sieniawa
180802_2.0012;Grodzisko Dolne
180802_2.0013;Grodzisko GÛrne
180902_5.0005;KowalÛwka
180904_2.0001;Ba≥aje
180710_2.0006;Szklary
181203_2.0009;Jeøowe
181301_2.0024;Rudawka
181301_2.0015;Leszczawa GÛrna
181301_2.0023;Roztoka
181301_2.0019;£odzinka GÛrna
200102_2.0019;NETTA FOLWARK
181504_5.0004;CIERPISZ
181601_1.0002;BartkÛwka
181602_5.0007;Nowy Borek
181207_5.0004;Bieliniec
182103_5.0007;HUZELE
182103_5.0014;WEREMIE—
181603_5.0004;Mogielnica
181603_5.0005;Niechobrz
181604_2.0004;ZabratÛwka
200102_2.0025;PROMISKI
200102_2.0026;PRUSKA MA£A
181607_2.0006;WÛlka HyøneÒska
181207_5.0012;Kurzyna Wielka
182105_2.0005;BUKOWIEC
182105_2.0018;TERKA
181303_2.0019;Posada Rybotycka
181303_2.0002;Borys≥awka
181303_2.0022;Sopotnik
181802_2.0002;Laski
181305_2.0002;BachÛw
186301_1.0211;211 ZwiÍczyca
